,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
248,KRW-STX,22143591.09218439,1714500413.874926,3237.0,ASK,3739.0,-4.394079178175815e-10,85005633114.81331
249,KRW-SAND,14804289.14192521,1714500413.877599,589.6,ASK,641.5,-6.793891505298482e-08,10394900752.811626
250,KRW-NEO,3884733.94045918,1714500413.883243,24260.0,BID,27860.0,4.149339040360329e-11,120112599179.49193
251,KRW-DOGE,433542695.00217944,1714500413.973243,191.1,ASK,209.1,-5.7879170083471517e-08,99111733672.55426
252,KRW-WAVES,18969691.48767689,1714500414.335209,3251.0,BID,3763.0,2.2584320605265824e-10,88557014176.18356
253,KRW-GRT,46209060.94472962,1714500414.3397949,334.9,ASK,373.0,-2.1563502146847223e-09,17767281230.40408
254,KRW-SHIB,4751002983801.794,1714500414.5253508,0.03201,BID,0.03553,5.354886404112752e-06,175019048457.69745
255,KRW-HIFI,7888608.95670949,1714500414.605026,1015.0,BID,1140.0,5.8954453070164466e-08,9687902094.532438
256,KRW-SHIB,4751007221733.467,1714500415.258582,0.032,ASK,0.03553,-2.4214116750131236e-05,175019048457.69745
257,KRW-BTC,5750.52967852,1714500415.263333,86874000.0,BID,92540000.0,2.4241676679721484e-15,577517808937.0522
258,KRW-ETH,31125.29299469,1714500415.324728,4290000.0,BID,4653000.0,1.2781177935644237e-13,156480099887.04108
259,KRW-SOL,524993.756435,1714500415.484621,179750.0,BID,199900.0,5.006453742867696e-12,111122215150.38562
260,KRW-WAXP,53708750.84008397,1714500415.614142,88.29,ASK,96.88,-9.950021634869543e-08,5401329541.184576
261,KRW-ETC,1440750.4074342,1714500416.690712,36270.0,ASK,40110.0,-8.19122116807011e-11,61040959551.7981
262,KRW-ETC,1440757.863274,1714500416.69612,36270.0,ASK,40110.0,-1.2214486559017847e-10,61040959551.7981
263,KRW-ETC,1440762.863274,1714500416.699287,36280.0,ASK,40110.0,-8.19122116807011e-11,61040959551.7981
264,KRW-ETC,1440763.1174342,1714500416.702057,36270.0,ASK,40110.0,-4.163764820852344e-12,61040959551.7981
265,KRW-NEO,3884771.56925143,1714500416.7050638,24260.0,BID,27860.0,3.132793104729352e-10,120112599179.49193
266,KRW-NEAR,7506956.39720518,1714500416.7935061,8622.0,ASK,9898.0,-2.7257720309882557e-11,79400607040.25192
267,KRW-NEAR,7506957.39720518,1714500416.7959402,8622.0,ASK,9898.0,-1.259436215006584e-11,79400607040.25192
268,KRW-BTC,5750.5319807,1714500416.844522,86874000.0,BID,92540000.0,3.986335943518408e-15,577517808937.0522
269,KRW-STX,22143610.00027203,1714500416.883839,3237.0,ASK,3739.0,-2.2243334876098328e-10,85005633114.81331
270,KRW-ETH,31125.44710456,1714500416.914169,4290000.0,BID,4653000.0,9.848528350327262e-13,156480099887.04108
271,KRW-STX,22143814.80027203,1714500416.923052,3237.0,ASK,3739.0,-2.4092520989065615e-09,85005633114.81331
272,KRW-NEAR,7506992.01909315,1714500416.932914,8622.0,BID,9898.0,4.360405954222024e-10,79400607040.25192
273,KRW-PUNDIX,8798853.94891995,1714500417.0740669,829.6,BID,917.8,2.7807127396427324e-08,8863040632.971416
274,KRW-BSV,74904.18246411,1714500417.2244532,85770.0,BID,94680.0,1.3199642754514938e-09,7606266462.446051
275,KRW-NEO,3884775.68920299,1714500417.294366,24260.0,BID,27860.0,3.4300744366872286e-11,120112599179.49193
276,KRW-XRP,171205477.83108106,1714500417.715463,713.9,BID,743.4,4.159003474353951e-09,139569581780.17416
277,KRW-XRP,171205547.86890146,1714500417.8864691,713.9,BID,743.4,5.018129273262348e-10,139569581780.17416
