,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
69,KRW-XTZ,1245947.6020762,1714500398.8200488,1292.0,BID,1422.0,0.0,1873990678.9317014
70,KRW-BORA,59685312.86748295,1714500398.8206358,213.0,BID,240.0,0.0,14126499649.860712
71,KRW-JST,45294731.85196127,1714500398.821239,45.57,ASK,47.89,-0.0,2369230628.5478497
72,KRW-CRO,62919981.65330798,1714500398.821846,186.4,BID,200.0,0.0,12197867234.294498
73,KRW-TON,663602.15225921,1714500398.8224719,2790.0,ASK,2994.0,-0.0,2159842924.312721
74,KRW-SXP,6928369.93324135,1714500398.8241868,463.9,ASK,500.3,-0.0,3842883155.8314815
75,KRW-HUNT,11691984.40270676,1714500398.824817,577.5,BID,643.0,0.0,7427606595.322006
76,KRW-DOT,978427.44041924,1714500398.8254368,8835.0,BID,9537.0,0.0,9577390694.133295
77,KRW-MVL,361900033.0277332,1714500398.8260381,7.487,BID,7.886,0.0,3185327556.537877
78,KRW-STRAX,27738592.59959448,1714500398.826615,112.3,ASK,122.1,-0.0,3644011243.7907395
79,KRW-AQT,535079.1995571,1714500398.827192,1867.0,BID,1966.0,0.0,1078966745.7674117
80,KRW-GLM,135688284.57918414,1714500398.827778,700.0,BID,785.3,0.0,121637944300.19965
81,KRW-META,45706514.64063608,1714500398.828374,54.75,BID,58.19,0.0,2890297536.6645126
82,KRW-FCT2,78708611.88525088,1714500398.8289778,76.51,BID,82.5,0.0,8139909936.406177
83,KRW-CBK,894018.53802214,1714500398.829567,1105.0,BID,1163.0,0.0,1069915118.953715
84,KRW-SAND,14803582.92364598,1714500398.8301718,589.6,ASK,641.5,-0.0,10394900752.811626
85,KRW-HPO,12397819.68568926,1714500398.8307688,106.4,BID,114.3,0.0,1443929710.0870252
86,KRW-DOGE,433522052.1513092,1714500398.83138,191.3,BID,209.1,0.0,99111733672.55426
87,KRW-STRIKE,91197.35440413,1714500398.8319738,15060.0,BID,16130.0,0.0,1604078851.9391043
88,KRW-PUNDIX,8798607.49321995,1714500398.832546,829.6,ASK,917.8,-0.0,8863040632.971416
89,KRW-FLOW,10899600.91923083,1714500398.8331149,1190.0,BID,1302.0,0.0,14565847189.464466
90,KRW-AXS,939712.31359322,1714500398.833693,9436.0,ASK,10410.0,-0.0,10193306963.71788
91,KRW-STX,22143104.00649066,1714500398.8342872,3238.0,ASK,3739.0,-0.0,85005633114.81331
92,KRW-XEC,164050576760.2977,1714500398.8348758,0.06603,ASK,0.07188,-0.0,12560210530.486721
93,KRW-SOL,524957.83655359,1714500398.8354611,179750.0,BID,199900.0,0.0,111122215150.38562
94,KRW-MATIC,11043152.32100257,1714500398.836117,946.0,ASK,1020.0,-0.0,13012353856.35662
95,KRW-AAVE,17135.84685449,1714500398.837025,118250.0,ASK,129500.0,-0.0,2195144601.15284
96,KRW-1INCH,4143300.78358199,1714500398.8378,556.4,BID,613.4,0.0,2560215839.813628
97,KRW-ALGO,36692831.48493079,1714500398.8384151,248.9,BID,275.7,0.0,10688870661.045847
98,KRW-NEAR,7506893.70526318,1714500398.8391511,8637.0,ASK,9898.0,-0.0,79400607040.25192
99,KRW-AVAX,348921.88792428,1714500398.8399591,46760.0,BID,51130.0,0.0,21982393359.035572
100,KRW-T,284247490.834339,1714500398.840597,46.65,ASK,51.7,-0.0,17070649503.330675
